
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:21             0.0.0.0:0              LISTENING       5528
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       5376
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1916
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING       5376
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       30180
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       6056
  TCP    0.0.0.0:4000           0.0.0.0:0              LISTENING       21516
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       12800
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       27876
  TCP    0.0.0.0:6379           0.0.0.0:0              LISTENING       27876
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1624
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1432
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2420
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3736
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       5180
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       1564
  TCP    0.0.0.0:59172          0.0.0.0:0              LISTENING       19352
  TCP    127.0.0.1:1042         0.0.0.0:0              LISTENING       20992
  TCP    127.0.0.1:1042         127.0.0.1:59167        ESTABLISHED     20992
  TCP    127.0.0.1:1042         127.0.0.1:59168        ESTABLISHED     20992
  TCP    127.0.0.1:1043         0.0.0.0:0              LISTENING       20992
  TCP    127.0.0.1:4000         127.0.0.1:49836        TIME_WAIT       0
  TCP    127.0.0.1:4000         127.0.0.1:55857        TIME_WAIT       0
  TCP    127.0.0.1:4000         127.0.0.1:58014        TIME_WAIT       0
  TCP    127.0.0.1:4000         127.0.0.1:58399        ESTABLISHED     21516
  TCP    127.0.0.1:4000         127.0.0.1:59153        TIME_WAIT       0
  TCP    127.0.0.1:7778         0.0.0.0:0              LISTENING       5368
  TCP    127.0.0.1:9012         0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:9012         127.0.0.1:59161        ESTABLISHED     2472
  TCP    127.0.0.1:9013         0.0.0.0:0              LISTENING       2472
  TCP    127.0.0.1:9101         0.0.0.0:0              LISTENING       19352
  TCP    127.0.0.1:9222         0.0.0.0:0              LISTENING       7744
  TCP    127.0.0.1:9222         127.0.0.1:51796        ESTABLISHED     7744
  TCP    127.0.0.1:11001        0.0.0.0:0              LISTENING       5492
  TCP    127.0.0.1:13030        0.0.0.0:0              LISTENING       6140
  TCP    127.0.0.1:13030        127.0.0.1:49669        ESTABLISHED     6140
  TCP    127.0.0.1:13031        0.0.0.0:0              LISTENING       5424
  TCP    127.0.0.1:13031        127.0.0.1:49707        ESTABLISHED     5424
  TCP    127.0.0.1:13032        0.0.0.0:0              LISTENING       5424
  TCP    127.0.0.1:14147        0.0.0.0:0              LISTENING       5528
  TCP    127.0.0.1:22112        0.0.0.0:0              LISTENING       6140
  TCP    127.0.0.1:24830        0.0.0.0:0              LISTENING       5432
  TCP    127.0.0.1:27017        0.0.0.0:0              LISTENING       5968
  TCP    127.0.0.1:27339        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:49669        127.0.0.1:13030        ESTABLISHED     6140
  TCP    127.0.0.1:49707        127.0.0.1:13031        ESTABLISHED     5492
  TCP    127.0.0.1:50100        0.0.0.0:0              LISTENING       5424
  TCP    127.0.0.1:50100        127.0.0.1:65213        ESTABLISHED     5424
  TCP    127.0.0.1:50923        0.0.0.0:0              LISTENING       5368
  TCP    127.0.0.1:51100        0.0.0.0:0              LISTENING       16696
  TCP    127.0.0.1:51796        127.0.0.1:9222         ESTABLISHED     31468
  TCP    127.0.0.1:51849        127.0.0.1:54242        ESTABLISHED     13460
  TCP    127.0.0.1:51853        0.0.0.0:0              LISTENING       31680
  TCP    127.0.0.1:51855        127.0.0.1:58634        ESTABLISHED     12280
  TCP    127.0.0.1:51937        127.0.0.1:58634        ESTABLISHED     12280
  TCP    127.0.0.1:54242        0.0.0.0:0              LISTENING       12280
  TCP    127.0.0.1:54242        127.0.0.1:51849        ESTABLISHED     12280
  TCP    127.0.0.1:54242        127.0.0.1:55363        ESTABLISHED     12280
  TCP    127.0.0.1:54242        127.0.0.1:62753        ESTABLISHED     12280
  TCP    127.0.0.1:54243        0.0.0.0:0              LISTENING       12280
  TCP    127.0.0.1:54243        127.0.0.1:54205        TIME_WAIT       0
  TCP    127.0.0.1:54243        127.0.0.1:58592        TIME_WAIT       0
  TCP    127.0.0.1:54243        127.0.0.1:59156        TIME_WAIT       0
  TCP    127.0.0.1:54243        127.0.0.1:64024        TIME_WAIT       0
  TCP    127.0.0.1:54941        127.0.0.1:9222         TIME_WAIT       0
  TCP    127.0.0.1:55362        127.0.0.1:58634        ESTABLISHED     12280
  TCP    127.0.0.1:55363        127.0.0.1:54242        ESTABLISHED     31680
  TCP    127.0.0.1:55369        127.0.0.1:55399        ESTABLISHED     31680
  TCP    127.0.0.1:55399        0.0.0.0:0              LISTENING       12280
  TCP    127.0.0.1:55399        127.0.0.1:55369        ESTABLISHED     12280
  TCP    127.0.0.1:56153        127.0.0.1:56154        ESTABLISHED     5844
  TCP    127.0.0.1:56154        127.0.0.1:56153        ESTABLISHED     5844
  TCP    127.0.0.1:58399        127.0.0.1:4000         ESTABLISHED     14956
  TCP    127.0.0.1:58634        0.0.0.0:0              LISTENING       31680
  TCP    127.0.0.1:58634        127.0.0.1:51855        ESTABLISHED     31680
  TCP    127.0.0.1:58634        127.0.0.1:51937        ESTABLISHED     31680
  TCP    127.0.0.1:58634        127.0.0.1:52286        TIME_WAIT       0
  TCP    127.0.0.1:58634        127.0.0.1:52289        TIME_WAIT       0
  TCP    127.0.0.1:58634        127.0.0.1:54203        TIME_WAIT       0
  TCP    127.0.0.1:58634        127.0.0.1:54939        TIME_WAIT       0
  TCP    127.0.0.1:58634        127.0.0.1:54942        TIME_WAIT       0
  TCP    127.0.0.1:58634        127.0.0.1:55362        ESTABLISHED     31680
  TCP    127.0.0.1:58634        127.0.0.1:58594        TIME_WAIT       0
  TCP    127.0.0.1:58634        127.0.0.1:59518        ESTABLISHED     31680
  TCP    127.0.0.1:58634        127.0.0.1:60385        ESTABLISHED     31680
  TCP    127.0.0.1:58634        127.0.0.1:60387        ESTABLISHED     31680
  TCP    127.0.0.1:58634        127.0.0.1:60388        ESTABLISHED     31680
  TCP    127.0.0.1:58634        127.0.0.1:61589        TIME_WAIT       0
  TCP    127.0.0.1:58634        127.0.0.1:62317        ESTABLISHED     31680
  TCP    127.0.0.1:58634        127.0.0.1:62754        ESTABLISHED     31680
  TCP    127.0.0.1:59161        127.0.0.1:9012         ESTABLISHED     16696
  TCP    127.0.0.1:59167        127.0.0.1:1042         ESTABLISHED     24544
  TCP    127.0.0.1:59168        127.0.0.1:1042         ESTABLISHED     2472
  TCP    127.0.0.1:59170        0.0.0.0:0              LISTENING       33936
  TCP    127.0.0.1:59518        127.0.0.1:58634        ESTABLISHED     12280
  TCP    127.0.0.1:60385        127.0.0.1:58634        ESTABLISHED     12280
  TCP    127.0.0.1:60387        127.0.0.1:58634        ESTABLISHED     12280
  TCP    127.0.0.1:60388        127.0.0.1:58634        ESTABLISHED     12280
  TCP    127.0.0.1:62317        127.0.0.1:58634        ESTABLISHED     12280
  TCP    127.0.0.1:62753        127.0.0.1:54242        ESTABLISHED     13460
  TCP    127.0.0.1:62754        127.0.0.1:58634        ESTABLISHED     12280
  TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING       5948
  TCP    127.0.0.1:65001        127.0.0.1:65196        ESTABLISHED     5948
  TCP    127.0.0.1:65196        127.0.0.1:65001        ESTABLISHED     5948
  TCP    127.0.0.1:65213        127.0.0.1:50100        ESTABLISHED     16696
  TCP    192.168.1.6:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.1.6:49837      3.5.20.169:80          TIME_WAIT       0
  TCP    192.168.1.6:51709      20.44.229.112:443      FIN_WAIT_1      20988
  TCP    192.168.1.6:52282      20.42.65.89:443        TIME_WAIT       0
  TCP    192.168.1.6:52284      3.5.20.169:80          TIME_WAIT       0
  TCP    192.168.1.6:52291      3.5.20.169:80          TIME_WAIT       0
  TCP    192.168.1.6:54204      20.42.65.89:443        TIME_WAIT       0
  TCP    192.168.1.6:54206      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.6:54848      20.189.173.17:443      TIME_WAIT       0
